Data,IPEDS_ID,year,FBS_Conference,Total_Expenses,Excess_Transfers_Back,Other_Expenses,Medical,Competition_Guarantees_spent,Recruiting,Game_Expenses_and_Travel,Facilities_and_Equipment,Coaches_Compensation,Support_and_Admin_Compensation_w_Severance,Athletic_Student_Aid,Total_Revenues,Other_Revenue,Corporate_Sponsorship_Advertising_Licensing,Donor_Contributions,Competition_Guarantees_earned,NCAA_Conference_Distributions_Media_Rights_and_Post-Season_Football,Ticket_Sales,Institutional_Government_Support,Student_Fees,Total_Institutional_Government_Support_and_Student_Fees,Total_Football_Spending,Total_Football_Coaching_Salaries,fpi,rk,eff_ove,rnk_ove,eff_off,rnk_off,eff_def,rnk_def,eff_spe,rnk_spe
The University of Alabama,100751,2013,Southeastern Conference,135635482,0,19441292,2729513,3771348,2076564,13447377,29189564,24849100,24682283,15448441,167237378,21894673,13031268,39819032,44782,40458631,45252809,6736183,0,6736183,48329877,13908446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The University of Alabama,100751,2014,Southeastern Conference,137563658,0,19934787,2831925,3506622,2510874,12353711,28691702,26508044,25278320,15947674,175393103,28946706,17708642,36852573,131630,42287687,42601540,6864326,0,6864326,48065535,14994422,26.8,2,87.3,4,84.9,7,82.5,7,38,111
The University of Alabama,100751,2015,Southeastern Conference,151314930,0,18050193,3415567,4094812,2486293,11880023,38682113,28745775,27677456,16282698,170243469,24146475,12782746,33559679,74476,51832162,44856163,2991769,0,2991769,55608855,17327260,27.4,1,90,1,74.7,16,91.6,1,61.7,18
The University of Alabama,100751,2016,Southeastern Conference,164019302,0,20331403,3576409,4827828,3102723,23578569,34192111,28223476,28634402,17552381,185168307,22829000,13544873,33476769,50429,67193408,45293882,2779944,0,2779944,63466476,15828345,31.2,1,93.5,1,70.8,24,97.4,1,56.2,40
The University of Alabama,100751,2017,Southeastern Conference,175377939,0,19888604,3291587,4470556,2951337,24205365,36319799,33875544,31245745,19129402,192689954,22607578,13271656,36493154,7229158,68227039,41612479,3248891,0,3248891,68817555,20940769,28.4,1,92.8,1,86.4,4,89.9,2,50.6,59
The University of Alabama,100751,2018,Southeastern Conference,179706183,0,21500172,3335048,4496133,3572897,25427891,40367614,30193277,32747075,18066074,191521194,26989778,14059155,32603481,5439216,68324807,41269191,2835565,0,2835565,67923533,16510005,30.1,2,96.9,1,96.6,2,88.4,2,49.4,81
The University of Alabama,100751,2019,Southeastern Conference,196417271,0,24160131,3494360,4224556,4267693,25583995,39049134,35174091,41178460,19284850,173919101,31380578,14584338,7504770,4827872,71343822,41464175,2813545,0,2813545,73893815,21204441,29.4,4,92.7,4,94.4,3,80.3,10,42.5,92
The University of Alabama,100751,2020,Southeastern Conference,181275218,0,24422858,3164777,4798307,3556141,17206391,41951363,33407891,34585959,18181531,198174959,47893411,13632679,21162816,2501105,66992770,41209598,4782581,0,4782581,61257571,20680676,35.9,1,96.4,1,98.1,1,77.6,7,58,27
The University of Alabama,100751,2021,Southeastern Conference,170191728,0,16226624,7689965,306433,734399,15338497,42620876,36509164,32282932,18482838,179800409,9939009,14064127,35640206,20480,98046643,7406322,14683622,0,14683622,59515883,23115254,25.4,2,88.1,2,85.3,3,81.7,5,43.7,103
The University of Alabama,100751,2022,Southeastern Conference,195881911,0,25910952,4028239,4963000,3824089,23426924,42823378,37062029,34890982,18952318,214365357,14803783,15160050,53113300,84000,75614337,44211016,11378871,0,11378871,78521050,22576651,27.3,2,89.5,2,85.5,5,81.1,5,61.7,21
The University of Alabama,100751,2023,Southeastern Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,6,84.5,7,74.6,18,79.7,9,68.2,3
Auburn University,100858,2013,Southeastern Conference,119954129,0,18160961,1159761,3710705,3252453,8955220,29154213,19657110,23799811,12103896,120598757,5069996,6068991,37026237,2733716,31535858,33144176,0,5019782,5019782,42230582,10044604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn University,100858,2014,Southeastern Conference,144759204,0,21079692,1184109,5848028,3101346,12823558,35326183,23317119,28338610,13740559,130160195,5731002,6038439,45107928,43495,34072875,34147581,0,5018875,5018875,56817469,11984673,21.9,8,77.7,15,86.2,6,58.4,45,41.7,102
Auburn University,100858,2015,Southeastern Conference,132043296,0,16145241,1006665,4305867,2755420,9573798,27411600,24146487,29611874,17086344,142514563,9537415,6931334,42305886,523609,43802489,34504831,0,4908999,4908999,45246858,12822101,13,30,65.4,36,59,41,63.7,37,56.5,40
Auburn University,100858,2016,Southeastern Conference,140972900,0,19076557,1123477,4117684,2549264,10833794,30432412,25462909,29810137,17566665,158140814,11175387,6995740,40328966,3657986,53527793,36314977,494868,5645097,6139965,47301301,13371732,19.3,11,74.6,15,63.2,35,73.3,17,62.4,22
Auburn University,100858,2017,Southeastern Conference,146900191,0,17721062,1084087,4105851,2446817,12117392,34856945,26111148,30887887,17569002,163067611,11491381,9755047,39145729,64117,62124273,36470351,0,4016714,4016714,47389729,13505212,21.6,9,82.4,10,70.7,20,84.7,6,46.8,86
Auburn University,100858,2018,Southeastern Conference,150856571,0,17756842,1009278,4195482,2248566,13186347,32940324,29150520,32026296,18342915,159297718,10960317,10392190,38506647,47481,57870178,35841245,0,5679660,5679660,47891344,16130164,16,12,70,26,53.6,59,75.4,20,55.7,37
Auburn University,100858,2019,Southeastern Conference,147601722,0,21060319,952701,4372544,2319225,12017148,32159050,29802622,27644134,17273979,161586723,11458028,10246724,37393490,4576626,58497801,33837680,0,5576374,5576374,50712010,16036188,21.3,10,81.9,12,58.6,40,88.4,3,56.2,36
Auburn University,100858,2020,Southeastern Conference,142197026,0,14186319,862304,5336014,1782057,10582925,32769018,30549697,27784897,18343796,160924683,10405147,10112408,35093992,3796136,59128403,35409753,787312,6191531,6978843,48112394,15362907,13.3,19,61.6,30,59.6,36,52.8,54,70.3,8
Auburn University,100858,2021,Southeastern Conference,133289885,0,6949671,802600,360000,284012,8471403,29225731,29537173,41221425,16437870,123546999,10544676,4666566,16225555,0,79878922,3718186,3106867,5406227,8513094,51651240,15510210,9.9,20,65.6,31,58.9,46,65.7,22,52.4,55
Auburn University,100858,2022,Southeastern Conference,151590763,0,18404593,1412131,4215945,2730647,12571050,33866857,27717457,33633888,17038195,174568442,9633391,11100482,36372783,10000,67749979,34140396,9157809,6403602,15561411,52254829,12663575,6.2,42,55,60,47.1,67,62.1,39,45.4,87
Auburn University,100858,2023,Southeastern Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,34,63.1,37,46.2,76,69.5,23,63.9,12
Arizona State University,104151,2013,Pacific-12 Conference,76304538,0,10367910,1710401,1766438,1363348,9030021,12000663,15829209,10120144,14116404,76390343,4251765,10502202,14815987,348953,23544779,11154845,11771813,0,11771813,27430011,6880828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona State University,104151,2014,Pacific-12 Conference,85334045,0,12219550,1826613,1656254,1269365,9811791,12846448,19129971,12035449,14538605,85535684,4309056,11615539,15451933,1602451,26278418,14748421,11529866,0,11529866,31900038,8685600,14.2,24,73.8,20,63.9,31,74.7,17,52.4,59
Arizona State University,104151,2015,Pacific-12 Conference,95888509,0,12167538,2110818,1774560,1342478,10718188,17051635,20321942,17431689,12969660,96536188,4196749,11751635,16886763,0,28921984,12623839,10771520,11383699,22155218,31519393,9521423,9.7,37,59.9,49,59.6,40,54.1,60,56.6,38
Arizona State University,104151,2016,Pacific-12 Conference,100579680,0,11217712,1698513,1325742,1357024,10226922,22273447,19269399,17502325,15708596,106874990,4596277,15418032,18810077,2646724,32124935,13434355,7903416,11941174,19844590,30578084,8483010,0.4,70,40.9,84,37,87,43.4,78,62.4,21
Arizona State University,104151,2017,Pacific-12 Conference,109247564,0,9446766,1958271,1648555,1638770,9426334,28395173,21152171,19247315,16334208,112292516,4247483,18363419,21890874,628454,35214643,11091616,8911036,11944991,20856027,35070533,9210903,4.1,47,56.5,55,65.9,29,45.1,75,45.7,91
Arizona State University,104151,2018,Pacific-12 Conference,136811185,0,10304778,1759419,1903090,1665792,12108959,34938515,22486828,34692228,16951576,122625701,4233991,19500405,26971968,546565,35747650,13382942,10528771,11713407,22242178,56994850,9265876,6.7,41,62.4,39,71.8,17,48.2,74,49,83
Arizona State University,104151,2019,Pacific-12 Conference,125496199,0,10403899,1628383,1532392,1713992,12159765,37470641,21114042,21903967,17569117,128987984,4708578,20094602,32420747,478638,37126380,13643571,8901957,11613511,20515468,33893288,7496527,6,43,60,42,43.3,81,65,35,69.4,9
Arizona State University,104151,2020,Pacific-12 Conference,123452313,0,9370441,1942282,2907505,1405147,11697799,31916596,22592235,23997594,17622714,112016216,5103626,21203520,15801914,528201,37044315,14410553,6013857,11910229,17924086,42613898,8707822,12,23,84.8,5,84.1,6,74.9,13,49.1,69
